"","","ENERO L","M","X","J","V","S","D","","JULIO L","M","X","J","V","S","D","","","","","","","","",""
"","","","","","","","","","","","","1","2","3","4","5","","","","","","","","",""
"","","","","","","","","","","","","","COMIDA EMPRESA AITANA 6500","VISITA POR LA TARDE 18:00 - VILLAJOYOSA MARIA Y JOAQUIN. RAUL VISITA CON ROCIO","EVENTO ALFARO  9500","","","26900","","","","","","",""
"","","","","","","","","","","","","","Visita tecnica elche - ADRIENNE Y MATHIES","POSILE COMIDA MOLI","","","","","","","","","","",""
"","","5","6","7","8","9","10","11","","6","7","8","9","10","11","12","","","","","","","","",""
"","","","","","","","","","","LIBRA ANTO","LIBRA ANTO","LIBRA ANTO","LIBRA ANTO","","","","","","","","","","","",""
"","","","","REUNIÓN","Organizar almacen arriba preparar evento","","","","","LANZAMIENTO MARKETING GULA BAR","visita molí Celia y claudio 19:00","CENA PLUTO 1200","","","BODA ANNA Y MARIO","","","","","","","","","",""
"","","","","","","","","","","Hidrafacial anna 11:15","","","","","","","","","","","","","","",""
"","","","","OPERACIÓN ANNA","","Encamina 9:00 y 14:30","limpiar mesas 8:00 am irene","preparacion catering ROCIO","","","","","","","Día cerrado","","","","","","","","","",""
"","","12","13","14","15","16","17","18","","13","14","15","16","17","18","19","","","","","","","","",""
"","","Encamina","Llamar Thomas 18:30 (Anna)","Llamada Maria 12:00","REUNIÓN RESTAURANTE 12:00"," visita casa marte 9:00","","Cumpleaños molí","","","PRODU LEFTIES","PRODU LEFTIES","PRODU LEFTIES","Prueba menu Pablo y Mauje 20:00","","","","","","","","","","",""
"","","14:00","","","Visita médico anna","IRENE INVENTARIO BEBIDAS","IRENE INVENTARIO PLATOS VASOS","","","","","ENCAMINA","PRUEBA MENU Rocío 13:00","Prueba menú Toñi 20:30","IRENE LIBRA","","","","","","","","","",""
"IRENE","-10","LIBRE","LIBRE","LIBRE","LIBRE - REUNION DE CASA","TRABAJA","TRABAJA","TRABAJA","","","","","","","","","","","","","","","","",""
"","","19","20","21","22","23","24","25","","20","21","22","23","24","25","26","","","","","","","","",""
"","","","Visita cheste 12:00","Cumple Lorena Roig ","REUNIÓN RESTAURANTE 10:00","PRUEBA MENÚ AMY 20:00- intolerante lactosa. 2 pax","Cumpleaños Ignacio Mansergas ","","","VISITA ANTEA 14:00","","PRODU MOVISTAR","AMUERZO POALGI","","","","","","","","","","","",""
"","","","","","","LLAMADA FELI ROCIO 17:30","","","","","PRODU MOVISTAR","ANTO: COCINAR ALMUERZO POALGI","ANTO: EVENTO + INVENTARIO","ANTO: HACER PEDIDOS DESDE CASA","","","","","","","","","","",""
"","","","REUNIONN DIANA - REUNION RAUL","RESUMEN CONTABILIDAD DANIELA","IRENE COMERCIAL DESDE RTE","Prueba menú José 26 abril. 14:00. 2 pax","Prueba Anna Cortana","","","","","","R","R","R","","","","","","","","","",""
"","","26","27","28","29","30","31","","","27","28","29","30","31","","","","","","","","","","",""
"","","COCINAR SAN VALENTIN Y EVENTOS","ABIR 7 PAX ","REUNIÓN RESTAURANTE 10:00","PRUEBA MENÚ ANDREA 19:30","Prueba de menu belen 20:00 6 PAX","","","","","","PRODU KITTEN","","","","","","","","","","","","",""
"","","","","","","POSIBLE RODAJE SAN VALENTIN","","","","","ANTO: COCINAR PRODU","ANTO: PRODU?","ANTO: RECIBIR PEDIDO MAKRO Y ALABAU","ANTO: PREPRODUCCIÓN EVENTOS SEMANA SIGUIENTE","1","2","","","","","","","","",""
"","","","","","Cobrar Sandra 1000€","PRUEBA MENÚ ROBERTO 20:00","","","","R","","ANNA PEDIDOS","R","R","R","","","","","","","","","",""
"","","FEBRERO","","","","","","","","AGOSTO","","","","","","","","","","","","","","",""
"","","L","M","X","J","V","S","D","","L","M","X","J","V","S","","","","","","","","","",""
"","","2","3","4","5","6","7","8","","3","4","5","6","7","8","9","","","","","","","","",""
"","","PRUEBA MENÚ ARANTXA 19:30 - NOVIO CELIACO - 6 PAX","PRIEBA MENU ANAHIT 14:00 2 pax","CUMPLE ROCIO","","PRUEBA DE MENU TONI + MANU 6 PAX 20:00","Celebración cumple ro bolera ","","","REUNIÓN PRESENCIAL CIERRE TEMPORADA 18:00 EN RESTAURANTE","PRODU ALICANTE","RECOGER DEALDE , MINUTAS Y FLORES"," comunion moli 2500","BODA FIORELLA MOLÍ BALLESTAR 3500","","","","","","","","","","",""
"","","","","","","","","","","","","REUNION MARC 12:00","","","","","","","","","","","","",""
"","","","","","","","","","","FELIPE PANTONE","12:40 médico Rocio online","REUNION FEED LORE","","","","","","","","","","","","",""
"","","","","","","","","","","PRODU COCINA: ANTO, MIRIAM","PRODU: ANNA, RO, RAUL, JEFF RTE: MIRIAM, ANTO","RTE: ANTO: TARTA, ","ANTO: EVENTO","","","","","","","","","","","",""
"","","RESUMEN CONTABILIDAD DANIELA","Visita anna events 18:00","Revision coche anna 9:00","","PRUEBA MENÚ PAULA 3 PAX 20:00","","","","Extintores a las 13:00","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","","","","","","","","","",""
"","","Alma libre 10:00","VISITA POZALET ","","","PRODUCCIÓN","","","","","","","","","","","","","","","","","","",""
"","","9","10","11","12","13","14","15","","10","11","12","13","14","15","16","","","","","","","","",""
"","","","Llamar estefania 12:00","","REUNIÓN JOAN 11:00","","","","","","Vacas roci","","","ACTIVA RO","","","","","","","","","","",""
"","","","","","","","","","","","Vacas Anna","","","","","","","","","","","","","",""
"","","","","","COMPRAR: CARRILLLERA/BURRATA/PAN BIKINI","","","","","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","","","","","","","","","",""
"","","","REUNION RESTAURANTE 10:30","","REUNION GESTOR 12:30","","","","","","","","","","","","","","","","","","","",""
"","","","PRODU DELIVERY","Comida casa Axis","Llamar Alberto 18:30","","CENA DE RECOMPENSAS","","","","","","","","","","","","","","","","","",""
"","","","REUNION 18:00 LORE 19:00 DREAMTEAM","","IRENE LIBRA","IRENE LIBRA","IRENE LIBRA","IRENE LIBRA","","","","","","","","","","","","","","","","",""
"","","16","17","18","19","20","21","22","","17","18","19","20","21","22","23","","","","","","","","",""
"","","","","","","hacer el acta y el power","","","","","","","","","","","","","","","","","","",""
"","","RESUMEN CONTABILIDAD DANIELA","","","reu rocio 16:30 belen","JUBILACIÓN MADRE ANNA","","Prueba menú alba ","","ACTIVA RO","ACTIVA RO","","","","","","","","","","","","","",""
"","","VISITA SANIDAD 9:30","PRODU DELIVERY","PRODU DELIVERY","PRODU DELIVERY","Cita Rocio médico 12:20","","","","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","","","","","","","","","",""
"","","23","24","25","26","27","28","1","","24","25","26","27","28","29","30","","","","","","","","",""
"","","REUNIÓN NAMING","REUNION EQUIPO MARTES A LAS 17:00","","","Roberto paga 1000","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","VACAS IRENE","","","","","","","","","",""
